Problem,Solved,Solution Length,Simulations,Expanded,Generated
092_p-11-11-50-2-3-3-0,True,23,34,34,69
093_p-11-11-100-2-3-3-6,True,14,15,15,36
094_p-11-11-100-2-3-3-10,True,14,15,15,31
095_p-11-11-100-2-3-3-22,True,13,14,14,38
096_p-11-11-100-2-3-3-23,True,25,45,40,98
097_p-11-11-100-2-3-3-5,True,15,16,16,39
098_p-11-11-100-2-3-3-13,True,10,16,16,45
099_p-11-11-100-2-3-3-28,True,12,16,16,43
100_grid_x-1_y-9_t-2_k-2_l-3,True,6,7,7,12
101_grid_x-1_y-9_t-3_k-5_l-3,True,42,2134,197,445
102_grid_x-3_y-5_t-2_k-1_l-1,True,9,10,10,24
103_grid_x-3_y-5_t-2_k-1_l-2,True,6,7,7,18
104_grid_x-3_y-5_t-3_k-5_l-3,True,135,1765,1765,5364
105_grid_x-3_y-7_t-2_k-1_l-1,True,9,10,10,27
106_grid_x-3_y-7_t-3_k-2_l-1,True,15,43,43,134
107_grid_x-3_y-7_t-2_k-2_l-1,True,15,43,43,134
108_grid_x-3_y-7_t-3_k-5_l-3,True,34,185,185,695
109_grid_x-3_y-9_t-2_k-1_l-1,True,14,29,29,90
110_grid_x-3_y-9_t-3_k-1_l-1,True,14,28,28,86
111_grid_x-3_y-9_t-3_k-5_l-3,True,74,1086,1086,3430
112_grid_x-5_y-7_t-2_k-1_l-1,True,10,19,19,61
113_grid_x-5_y-7_t-3_k-1_l-1,True,10,19,19,61
114_grid_x-5_y-7_t-3_k-5_l-3,True,87,656,656,2165
115_grid_x-5_y-9_t-2_k-1_l-1,True,11,207,207,692
116_grid_x-5_y-9_t-2_k-1_l-2,True,7,11,11,39
117_grid_x-5_y-9_t-3_k-5_l-3,True,70,244,244,793
118_grid_x-7_y-9_t-2_k-1_l-1,True,10,41,41,142
119_grid_x-7_y-9_t-3_k-5_l-3,True,85,1136,1136,3799

SUMMARY,118/120,14.3,75.5,59.1,180.1
Coverage,98.3%,,,,
